"filename", "language", "YAML", "Dart", "Markdown", "XML", "Swift", "C++", "JSON", "Properties", "Groovy", "HTML", "comment", "blank", "total"
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\ChestMoves\pushUps.dart", "Dart", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 95
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\LegMoves\barbell_deadlifts.dart", "Dart", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 86
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\LegMoves\barbell_squats.dart", "Dart", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 92
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\LegMoves\cable_squats.dart", "Dart", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 84
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\LegMoves\dumbbell_squats.dart", "Dart", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 87
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Movements\LegMoves\leg_extensions.dart", "Dart", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 90
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Signup\choseUsernameScreen.dart", "Dart", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 36, 6, 133
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Signup\components\background.dart", "Dart", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 44
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Signup\components\body.dart", "Dart", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 24, 6, 147
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Signup\components\or_divider.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Signup\components\social_icon.dart", "Dart", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Signup\signup_screen.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Signup\userNameSelection.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Welcome\components\background.dart", "Dart", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 43
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Welcome\components\body.dart", "Dart", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 68
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\Welcome\welcome_screen.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\diets_detail_screen.dart", "Dart", 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 114
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\meal_detail_screen.dart", "Dart", 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 174
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\userProfile\userProfile.dart", "Dart", 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 9, 20, 241
"c:\Users\mubey\Desktop\sport-app-new\lib\Screens\workout_screen.dart", "Dart", 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 151
"c:\Users\mubey\Desktop\sport-app-new\lib\armMovements.dart", "Dart", 0, 939, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 941
"c:\Users\mubey\Desktop\sport-app-new\lib\authentication_service.dart", "Dart", 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 20, 15, 166
"c:\Users\mubey\Desktop\sport-app-new\lib\backMovements.dart", "Dart", 0, 302, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 304
"c:\Users\mubey\Desktop\sport-app-new\lib\calculate\calculate.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\mubey\Desktop\sport-app-new\lib\calculate\components\background.dart", "Dart", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 44
"c:\Users\mubey\Desktop\sport-app-new\lib\calculate\components\body.dart", "Dart", 0, 209, 0, 0, 0, 0, 0, 0, 0, 0, 18, 15, 242
"c:\Users\mubey\Desktop\sport-app-new\lib\chestMovements.dart", "Dart", 0, 460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 462
"c:\Users\mubey\Desktop\sport-app-new\lib\components\already_have_an_account_acheck.dart", "Dart", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"c:\Users\mubey\Desktop\sport-app-new\lib\components\roundedInput.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\mubey\Desktop\sport-app-new\lib\components\rounded_button.dart", "Dart", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\mubey\Desktop\sport-app-new\lib\components\rounded_input_field.dart", "Dart", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
"c:\Users\mubey\Desktop\sport-app-new\lib\components\rounded_input_nameSurname.dart", "Dart", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
"c:\Users\mubey\Desktop\sport-app-new\lib\components\rounded_input_userName_field.dart", "Dart", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
"c:\Users\mubey\Desktop\sport-app-new\lib\components\rounded_password_field.dart", "Dart", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 50
"c:\Users\mubey\Desktop\sport-app-new\lib\components\snackBar.dart", "Dart", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 54
"c:\Users\mubey\Desktop\sport-app-new\lib\components\text_field_container.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\mubey\Desktop\sport-app-new\lib\constants.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\mubey\Desktop\sport-app-new\lib\frontLayer.dart", "Dart", 0, 337, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 350
"c:\Users\mubey\Desktop\sport-app-new\lib\legMovements.dart", "Dart", 0, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 302
"c:\Users\mubey\Desktop\sport-app-new\lib\main.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 28
"c:\Users\mubey\Desktop\sport-app-new\lib\model\diets.dart", "Dart", 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 157
"c:\Users\mubey\Desktop\sport-app-new\lib\model\fat_burn_workout.dart", "Dart", 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 122
"c:\Users\mubey\Desktop\sport-app-new\lib\model\gain_muscle.dart", "Dart", 0, 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 183
"c:\Users\mubey\Desktop\sport-app-new\lib\model\meal.dart", "Dart", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 72
"c:\Users\mubey\Desktop\sport-app-new\lib\model\protection_workout.dart", "Dart", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 71
